,max_iters,problem_size,algorithm,problem_type,fitness,processing_time
0,50,15,random_hill_climb,FourPeaks,27.0,0.007119894027709961
1,50,15,simulated_annealing,FourPeaks,27.0,0.00045800209045410156
2,50,15,genetic_alg,FourPeaks,27.0,0.20759892463684082
3,50,15,mimic,FourPeaks,27.0,0.3182809352874756
4,250,15,random_hill_climb,FourPeaks,27.0,0.007541179656982422
5,250,15,simulated_annealing,FourPeaks,27.0,0.0006687641143798828
6,250,15,genetic_alg,FourPeaks,27.0,0.3931870460510254
7,250,15,mimic,FourPeaks,27.0,0.3179190158843994
8,450,15,random_hill_climb,FourPeaks,27.0,0.008408784866333008
9,450,15,simulated_annealing,FourPeaks,27.0,0.0006539821624755859
10,450,15,genetic_alg,FourPeaks,27.0,0.3929281234741211
11,450,15,mimic,FourPeaks,27.0,0.31488585472106934
12,650,15,random_hill_climb,FourPeaks,27.0,0.008224010467529297
13,650,15,simulated_annealing,FourPeaks,27.0,0.0006542205810546875
14,650,15,genetic_alg,FourPeaks,27.0,0.39136409759521484
15,650,15,mimic,FourPeaks,27.0,0.31725263595581055
16,850,15,random_hill_climb,FourPeaks,27.0,0.008653879165649414
17,850,15,simulated_annealing,FourPeaks,27.0,0.0006999969482421875
18,850,15,genetic_alg,FourPeaks,27.0,0.4009060859680176
19,850,15,mimic,FourPeaks,27.0,0.3163909912109375
20,1050,15,random_hill_climb,FourPeaks,27.0,0.008208990097045898
21,1050,15,simulated_annealing,FourPeaks,27.0,0.0006871223449707031
22,1050,15,genetic_alg,FourPeaks,27.0,0.39155125617980957
23,1050,15,mimic,FourPeaks,27.0,0.3147127628326416
24,1250,15,random_hill_climb,FourPeaks,27.0,0.008220195770263672
25,1250,15,simulated_annealing,FourPeaks,27.0,0.0006709098815917969
26,1250,15,genetic_alg,FourPeaks,27.0,0.3911621570587158
27,1250,15,mimic,FourPeaks,27.0,0.3146700859069824
28,1450,15,random_hill_climb,FourPeaks,27.0,0.00825190544128418
29,1450,15,simulated_annealing,FourPeaks,27.0,0.0006878376007080078
30,1450,15,genetic_alg,FourPeaks,27.0,0.3920021057128906
31,1450,15,mimic,FourPeaks,27.0,0.31517791748046875
32,1650,15,random_hill_climb,FourPeaks,27.0,0.008104801177978516
33,1650,15,simulated_annealing,FourPeaks,27.0,0.0006582736968994141
34,1650,15,genetic_alg,FourPeaks,27.0,0.391826868057251
35,1650,15,mimic,FourPeaks,27.0,0.31434202194213867
36,1850,15,random_hill_climb,FourPeaks,27.0,0.00787806510925293
37,1850,15,simulated_annealing,FourPeaks,27.0,0.0006608963012695312
38,1850,15,genetic_alg,FourPeaks,27.0,0.3917276859283447
39,1850,15,mimic,FourPeaks,27.0,0.3151051998138428
40,50,15,random_hill_climb,OneMax,108.69029395417442,0.009448051452636719
41,50,15,simulated_annealing,OneMax,97.36314154810178,0.0009851455688476562
42,50,15,genetic_alg,OneMax,122.38736092970755,0.30763697624206543
43,250,15,random_hill_climb,OneMax,123.93594635775074,0.031847238540649414
44,250,15,simulated_annealing,OneMax,99.21964896056956,0.0032160282135009766
45,250,15,genetic_alg,OneMax,125.35401550897126,1.1898000240325928
46,450,15,random_hill_climb,OneMax,138.0050705913926,0.06804299354553223
47,450,15,simulated_annealing,OneMax,107.75537592232857,0.005636930465698242
48,450,15,genetic_alg,OneMax,125.35401550897126,1.1917271614074707
49,650,15,random_hill_climb,OneMax,138.27387824756633,0.08436799049377441
50,650,15,simulated_annealing,OneMax,117.90387373936063,0.008101940155029297
51,650,15,genetic_alg,OneMax,125.35401550897126,1.1909000873565674
52,850,15,random_hill_climb,OneMax,147.16968909375564,0.12285900115966797
53,850,15,simulated_annealing,OneMax,126.57164925619685,0.010656118392944336
54,850,15,genetic_alg,OneMax,125.35401550897126,1.1873338222503662
55,1050,15,random_hill_climb,OneMax,152.31592377534224,0.1449120044708252
56,1050,15,simulated_annealing,OneMax,137.15087913171715,0.013017892837524414
57,1050,15,genetic_alg,OneMax,125.35401550897126,1.1890060901641846
58,1250,15,random_hill_climb,OneMax,162.76256103836536,0.15872716903686523
59,1250,15,simulated_annealing,OneMax,145.5781096899248,0.015724658966064453
60,1250,15,genetic_alg,OneMax,125.35401550897126,1.185394287109375
61,1450,15,random_hill_climb,OneMax,170.16263761797512,0.19087600708007812
62,1450,15,simulated_annealing,OneMax,154.5717289358425,0.018390893936157227
63,1450,15,genetic_alg,OneMax,125.35401550897126,1.1910812854766846
64,1650,15,random_hill_climb,OneMax,172.2711704102438,0.2267169952392578
65,1650,15,simulated_annealing,OneMax,163.40981535368644,0.023021936416625977
66,1650,15,genetic_alg,OneMax,125.35401550897126,1.1820850372314453
67,1850,15,random_hill_climb,OneMax,182.82666281570863,0.2629261016845703
