,max_iters,algorithm,y_train_accuracy,y_test_accuracy,f1_score,fit_time,test_time
0,1,random_hill_climb,0.3456521739130435,0.21428571428571427,0.21428571428571427,0.006917238235473633,0.0002849102020263672
1,101,random_hill_climb,0.3456521739130435,0.21428571428571427,0.21428571428571427,0.06454110145568848,7.176399230957031e-05
2,201,random_hill_climb,0.3456521739130435,0.21428571428571427,0.21428571428571427,0.07150793075561523,5.698204040527344e-05
3,301,random_hill_climb,0.3456521739130435,0.21428571428571427,0.21428571428571427,0.10245490074157715,5.91278076171875e-05
4,401,random_hill_climb,0.3456521739130435,0.21428571428571427,0.21428571428571427,0.13789081573486328,5.7220458984375e-05
5,501,random_hill_climb,0.3456521739130435,0.21428571428571427,0.21428571428571427,0.16910672187805176,5.412101745605469e-05
6,601,random_hill_climb,0.3456521739130435,0.21428571428571427,0.21428571428571427,0.20306086540222168,5.412101745605469e-05
7,701,random_hill_climb,0.3456521739130435,0.21428571428571427,0.21428571428571427,0.23552894592285156,5.2928924560546875e-05
8,801,random_hill_climb,0.3456521739130435,0.21428571428571427,0.21428571428571427,0.267758846282959,5.316734313964844e-05
9,901,random_hill_climb,0.3456521739130435,0.21428571428571427,0.21428571428571427,0.3020040988922119,5.2928924560546875e-05
10,1,simulated_annealing,0.3456521739130435,0.21428571428571427,0.21428571428571427,0.0008471012115478516,5.1975250244140625e-05
11,101,simulated_annealing,0.3456521739130435,0.21428571428571427,0.21428571428571427,0.05518794059753418,5.2928924560546875e-05
12,201,simulated_annealing,0.3456521739130435,0.21428571428571427,0.21428571428571427,0.10958290100097656,5.2928924560546875e-05
13,301,simulated_annealing,0.3456521739130435,0.21428571428571427,0.21428571428571427,0.16361093521118164,5.1975250244140625e-05
14,401,simulated_annealing,0.3456521739130435,0.21428571428571427,0.21428571428571427,0.21895480155944824,5.412101745605469e-05
15,501,simulated_annealing,0.3456521739130435,0.21428571428571427,0.21428571428571427,0.2709660530090332,5.1975250244140625e-05
16,601,simulated_annealing,0.3456521739130435,0.21428571428571427,0.21428571428571427,0.32648706436157227,5.2928924560546875e-05
17,701,simulated_annealing,0.3456521739130435,0.21428571428571427,0.21428571428571427,0.3829309940338135,5.793571472167969e-05
18,801,simulated_annealing,0.3456521739130435,0.21428571428571427,0.21428571428571427,0.43737292289733887,5.412101745605469e-05
19,901,simulated_annealing,0.3456521739130435,0.21428571428571427,0.21428571428571427,0.49093103408813477,5.3882598876953125e-05
20,1,genetic_alg,0.3456521739130435,0.21428571428571427,0.21428571428571427,0.11233305931091309,5.412101745605469e-05
21,101,genetic_alg,0.7391304347826086,0.7792207792207793,0.7792207792207793,5.778343915939331,5.698204040527344e-05
22,201,genetic_alg,0.7391304347826086,0.7792207792207793,0.7792207792207793,11.046108961105347,5.698204040527344e-05
23,301,genetic_alg,0.7391304347826086,0.7792207792207793,0.7792207792207793,11.054569959640503,5.7220458984375e-05
24,401,genetic_alg,0.7391304347826086,0.7792207792207793,0.7792207792207793,11.059749841690063,5.602836608886719e-05
25,501,genetic_alg,0.7391304347826086,0.7792207792207793,0.7792207792207793,10.990739822387695,5.507469177246094e-05
26,601,genetic_alg,0.7391304347826086,0.7792207792207793,0.7792207792207793,11.013916254043579,5.5789947509765625e-05
27,701,genetic_alg,0.7391304347826086,0.7792207792207793,0.7792207792207793,11.000312089920044,5.7220458984375e-05
28,801,genetic_alg,0.7391304347826086,0.7792207792207793,0.7792207792207793,10.990522146224976,5.459785461425781e-05
29,901,genetic_alg,0.7391304347826086,0.7792207792207793,0.7792207792207793,11.000716209411621,6.008148193359375e-05
